CleanedText;TokenizedText;Words quantity;Class;True class
day thor command pick copy sex american male humorous satire american society;['day', 'thor', 'command', 'pick', 'copy', 'sex', 'american', 'male', 'humorous', 'satire', 'american', 'society'];12;1;3
unfortunately due large number covid case close contact covid case tomorrow game aspatria postponed rearranged later season;['unfortunately', 'due', 'large', 'number', 'covid', 'case', 'close', 'contact', 'covid', 'case', 'tomorrow', 'game', 'aspatria', 'postponed', 'rearranged', 'later', 'season'];17;0;0
honourable prime minister shri narendra modi would known paid attention falling health care infrastructure india global pandemic;['honourable', 'prime', 'minister', 'shri', 'narendra', 'modi', 'would', 'known', 'paid', 'attention', 'falling', 'health', 'care', 'infrastructure', 'india', 'global', 'pandemic'];17;1;1
week worked adding new deep ball shoulder catch animation new catching system axis 2022;['week', 'worked', 'adding', 'new', 'deep', 'ball', 'shoulder', 'catch', 'animation', 'new', 'catching', 'system', 'axis', '2022'];14;3;0
area 51 game 2005 mass surveillance new world order sound familiar;['area', '51', 'game', '2005', 'mass', 'surveillance', 'new', 'world', 'order', 'sound', 'familiar'];11;3;3
one wave country politician brought going end never;['one', 'wave', 'country', 'politician', 'brought', 'going', 'end', 'never'];8;1;1
style truly described effortless;['style', 'truly', 'described', 'effortless'];4;2;2
breaking putting everyday political news politician power hungry pedophile ghislainemaxwelllist;['breaking', 'putting', 'everyday', 'political', 'news', 'politician', 'power', 'hungry', 'pedophile', 'ghislainemaxwelllist'];10;1;1
go controller playing jrpgs playstation amazing button intuitive hand eating drinking;['go', 'controller', 'playing', 'jrpgs', 'playstation', 'amazing', 'button', 'intuitive', 'hand', 'eating', 'drinking'];11;3;3
fps going zero effect pretty cool;['fps', 'going', 'zero', 'effect', 'pretty', 'cool'];6;3;3
ability amass political mileage tact skill experience done reflects working behind situation proactively front conscious opportunist taking credit place contribute;['ability', 'amass', 'political', 'mileage', 'tact', 'skill', 'experience', 'done', 'reflects', 'working', 'behind', 'situation', 'proactively', 'front', 'conscious', 'opportunist', 'taking', 'credit', 'place', 'contribute'];20;1;1
watch cnn host blitzer tapper cooper run away confronted project veritas producer accused child sex crime video;['watch', 'cnn', 'host', 'blitzer', 'tapper', 'cooper', 'run', 'away', 'confronted', 'project', 'veritas', 'producer', 'accused', 'child', 'sex', 'crime', 'video'];17;1;1
fast furious discover hurling fastest game grass;['fast', 'furious', 'discover', 'hurling', 'fastest', 'game', 'grass'];7;0;0
ask rock move path progress silly adjust course move around;['ask', 'rock', 'move', 'path', 'progress', 'silly', 'adjust', 'course', 'move', 'around'];10;1;1
